USER         LWP    PPID NLWP
mario       8519    7900   20
mario       8520    7900   20
mario       8521    7900   20
mario       8523    7900   20
mario       8524    7900   20
mario       8525    7900   20
mario       8526    7900   20
mario       8527    7900   20
mario       8528    7900   20
mario       8689    7900   20
mario       8691    7900   20
mario       8692    7900   20
mario       8693    7900   20
mario       8694    7900   20
mario       8695    7900   20
mario       8696    7900   20
mario       8697    7900   20
mario      43695    7900   20
mario       8553    7900   21
mario       8557    7900   21
mario       8558    7900   21
mario       8559    7900   21
mario       8560    7900   21
mario       8562    7900   21
mario       8563    7900   21
mario       8564    7900   21
mario       8566    7900   21
mario       8567    7900   21
mario       8568    7900   21
mario       9721    7900   21
mario       9724    7900   21
mario       9725    7900   21
mario       9726    7900   21
mario       9728    7900   21
mario       9729    7900   21
mario       9730    7900   21
mario       9731    7900   21
mario       9733    7900   21
mario      43735    7900   21
mario       8565    1427    9
mario       8571    1427    9
mario       8572    1427    9
mario       8573    1427    9
mario      26417    1427    9
mario      26418    1427    9
mario      26419    1427    9
mario      26420    1427    9
mario      26421    1427    9
mario       9464    1642    8
mario       9466    1642    8
mario       9467    1642    8
mario       9468    1642    8
mario       9469    1642    8
mario       9470    1642    8
mario       9471    1642    8
mario       9481    1642    8
mario       9594    1427    6
mario       9629    1427    6
mario       9631    1427    6
mario       9632    1427    6
mario       9655    1427    6
mario       9659    1427    6
mario       9691    7900   19
mario       9695    7900   19
mario       9696    7900   19
mario       9697    7900   19
mario       9698    7900   19
mario       9700    7900   19
mario       9701    7900   19
mario       9702    7900   19
mario       9703    7900   19
mario       9704    7900   19
mario       9705    7900   19
mario       9706    7900   19
mario       9709    7900   19
mario       9710    7900   19
mario       9711    7900   19
mario       9758    7900   19
mario       9759    7900   19
mario       9760    7900   19
mario       9761    7900   19
mario       9787    7900    3
mario       9792    7900    3
mario       9797    7900    3
mario       9789    7900    4
mario       9793    7900    4
mario       9796    7900    4
mario       9801    7900    4
mario      11822    7900   21
mario      11830    7900   21
mario      11832    7900   21
mario      11833    7900   21
mario      11834    7900   21
mario      11836    7900   21
mario      11837    7900   21
mario      11845    7900   21
mario      11846    7900   21
mario      11847    7900   21
mario      11848    7900   21
mario      11913    7900   21
mario      11915    7900   21
mario      11916    7900   21
mario      11917    7900   21
mario      11918    7900   21
mario      11919    7900   21
mario      11920    7900   21
mario      11921    7900   21
mario      11922    7900   21
mario      25950    7900   21
root       17414       1   14
root       17423       1   14
root       17424       1   14
root       17425       1   14
root       17426       1   14
root       17427       1   14
root       17428       1   14
root       17430       1   14
root       17431       1   14
root       17434       1   14
root       17459       1   14
root       17460       1   14
root       17511       1   14
root       20768       1   14
root       20767       1    1
mario      21168    1427    1
mario      25699    7900   19
mario      25703    7900   19
mario      25704    7900   19
mario      25705    7900   19
mario      25706    7900   19
mario      25710    7900   19
mario      25711    7900   19
mario      25712    7900   19
mario      25713    7900   19
mario      25714    7900   19
mario      25715    7900   19
mario      26022    7900   19
mario      26024    7900   19
mario      26025    7900   19
mario      26026    7900   19
mario      26027    7900   19
mario      26028    7900   19
mario      26029    7900   19
mario      26030    7900   19
mario      25976    7900   22
mario      25980    7900   22
mario      25981    7900   22
mario      25982    7900   22
mario      25983    7900   22
mario      25985    7900   22
mario      25986    7900   22
mario      25987    7900   22
mario      25988    7900   22
mario      25989    7900   22
mario      25990    7900   22
mario      26868    7900   22
mario      26886    7900   22
mario      26887    7900   22
mario      26888    7900   22
mario      26889    7900   22
mario      26891    7900   22
mario      26892    7900   22
mario      26893    7900   22
mario      26894    7900   22
mario      26902    7900   22
mario      26913    7900   22
root       27754       2    1
mario      28921    7900   20
mario      28925    7900   20
mario      28926    7900   20
mario      28927    7900   20
mario      28928    7900   20
mario      28930    7900   20
mario      28931    7900   20
mario      28932    7900   20
mario      28933    7900   20
mario      28934    7900   20
mario      28935    7900   20
mario      35773    7900   20
mario      35779    7900   20
mario      35780    7900   20
mario      35781    7900   20
mario      35782    7900   20
mario      35783    7900   20
mario      35784    7900   20
mario      35785    7900   20
mario      35811    7900   20
mario      31906    1427    4
mario      31907    1427    4
mario      31909    1427    4
mario      31910    1427    4
mario      31924   31906    1
mario      32310    1427   11
mario      32318    1427   11
mario      32319    1427   11
mario      32320    1427   11
mario      32321    1427   11
mario      32322    1427   11
mario      32324    1427   11
mario      32342    1427   11
mario      32343    1427   11
mario      32344    1427   11
mario      32345    1427   11
mario      32312    1427   11
mario      32313    1427   11
